port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Illichivsk,Ukraine,Eastern-Europe,46.33521237987272,30.6554227977392,7785135851.858074,355.48752184989524,0.0,0.0,1618.4721893586313,coastal
Imabari Ko,Japan,Asia,34.05638247553906,133.0247446052946,106963.88292318086,8122.873709766519,7910.104314525479,4206.072457369477,12875.367376084923,coastal
Imatra,Finland,Northern-Europe,61.23266019056067,28.80422555667108,485413.6981906577,0.0,0.0,0.0,0.0,coastal
Imbituba,Brazil,Latin-America,-28.22915595048604,-48.65332437754567,2074567400.4670548,163.30810238468314,0.0,0.0,657.6790338005196,coastal
Immingham,United Kingdom,Western-Europe,53.64243449106034,-0.2008487103596722,65619903697.15871,6328459.301077611,6215127.831173896,4410335.050610852,8525354.162958866,coastal
Inchon,South Korea,Asia,37.36170932225954,126.45884943294804,157158970904.8605,0.0,0.0,0.0,0.0,coastal
Indiana Harbor,U.S.A.,North-America,41.665936992894295,-87.44280180919795,51969.82657350971,0.0,0.0,0.0,0.0,coastal
Indonesia Morowali Industrial Park,Indonesia,Asia,-2.81340311923013,122.16343355841462,8665344538.102747,77891.90583234574,5337.694249532044,0.0,277907.2823023966,coastal
Inkoo,Finland,Northern-Europe,60.0104062443655,23.94196733882955,1100488266.4103942,101469.32685946005,100311.89738751228,48120.74422786156,163417.6280162462,coastal
Ipswich,United Kingdom,Western-Europe,52.03919402559016,1.159469181957109,6944026057.797914,180446.59712481152,176760.52930196424,101937.48567235022,276627.63737909147,coastal
Iquique,Chile,Latin-America,-20.203623838366592,-70.15615373585503,5678101624.784188,49344.91194497303,0.0,0.0,184412.53859527223,coastal
Iraklion,Greece,Mediterranean,35.34545038054156,25.0927907811806,55027365.14826093,0.0,0.0,0.0,0.0,coastal
Ishikari Bay New Port,Japan,Asia,43.20710566180978,141.28683159864184,1548292186.372907,651.1896831847679,0.0,0.0,2390.0076410132865,coastal
Ishinomaki Ko,Japan,Asia,38.40768168554068,141.2674552813649,1487091560.696016,21049.283122977497,6822.826191852879,0.0,66677.44573785596,coastal
Iskenderun,Turkey,Mediterranean,36.60628919367149,36.18691007257476,3593053313.274564,0.0,0.0,0.0,0.0,coastal
Istanbul,Turkey,Mediterranean,41.03387422125344,28.928912256904304,22951649654.06534,0.0,0.0,0.0,0.0,coastal
Itajai,Brazil,Latin-America,-26.902238140282925,-48.65252345188132,13146513399.80034,12020.161986804,0.0,0.0,43300.585931540365,coastal
Itaqui,Brazil,Latin-America,-2.621855746963541,-44.36267032626552,28201450928.08379,1100646.1839144165,1102549.371567299,749180.7272440093,1490596.8607393368,coastal
Iverness,United Kingdom,Western-Europe,57.49308444497069,-4.236591018766256,146247.67280763722,110371.25606788365,102745.3204735088,53261.337366725886,191644.1121361289,coastal
Iwakuni Ko,Japan,Asia,34.181816615395086,132.23990099373478,5562861222.88547,108077.58530330661,107780.01062502657,56728.8273717964,159265.4457166931,coastal
Izhevskoye,Russia,Eastern-Europe,54.68602808953612,20.17815669420857,479891.4610211686,645723.56485851,603588.6710588498,251877.92419430165,1107537.584084033,coastal
Izmir,Turkey,Mediterranean,38.44249413811505,27.154555502934013,3944739328.5650873,1477.7438745667512,1299.43319025742,0.0,4132.889164046092,coastal
JSW Jaigad Port Limited,India,Asia,17.295943032582827,73.21733983189742,4395871063.4971,119068.8220354925,114484.96077542992,39957.001107000026,210752.92428373973,coastal
Jabal Az Zannah-Ruways,United Arab Emirates,Middle-East,24.15710501074664,52.82665732048446,33729356544.460773,340697.63562127826,327338.9159519875,134988.88137365275,587437.4224388694,coastal
Jacksonville,U.S.A.,North-America,30.381376029329907,-81.54863220201314,40129256468.948784,331847.6274486439,287843.1609659883,123370.51115166867,636700.3633825263,coastal
Jakarta,Indonesia,Asia,-6.101914823047763,106.89465715247697,74968739652.25468,73071.26846155646,0.0,0.0,255558.46933767744,coastal
Jakobstad,Finland,Northern-Europe,63.71062455011191,22.69020076811306,669322073.8796579,1181939.7549970862,1203061.4597849827,178235.36157432216,2330215.543991812,coastal
Jayapura,Indonesia,Asia,-2.536967859793158,140.7264870286022,2324488.9431003686,0.0,0.0,0.0,0.0,coastal
Jiangyin,China,Asia,31.939401228345435,120.1554413058036,7271129.921181168,127036.91660644459,119221.74064524428,52334.425081397,221846.74497667188,coastal
Jiddah,Saudi Arabia,Middle-East,21.453336765224293,39.16040554615598,47112395654.89436,700.7813820188139,0.0,0.0,3124.8252411223816,coastal
Jiddah Oil,Saudi Arabia,Middle-East,20.64483066841008,39.53352762112168,86684.84390635572,0.0,0.0,0.0,0.0,coastal
Jimenez,Philippines,Asia,8.330056676743059,123.86089572946894,139817351.46533412,28850.221197293937,28418.37596053898,8733.604739464776,53337.551543706286,coastal
Jinzhou Wan,China,Asia,40.75950573422145,121.01847867776192,18120638115.569187,789980.3309158637,704588.8577739074,406325.9228244984,1340598.0565124927,coastal
Joensuu,Finland,Northern-Europe,62.58175520380113,29.74995054763922,170472.4617375074,0.0,0.0,0.0,0.0,coastal
Johor,Malaysia,Asia,1.4457155370673964,103.946539943825,35963032349.56224,121131.46419192401,121187.98618683178,76760.13826265169,171028.53502135028,coastal
